trip_id,start_time,end_time,headway_secs,exact_times
weekend_T6050_T605002_1,11:00:00,16:00:00,3600,0
weekend_T6050_T605002_2,16:30:00,19:30:00,1800,0
weekend_T6050_T605002_3,20:00:00,23:00:00,3600,0
weekend_T5800_T580002_0,06:00:00,07:20:00,2400,0
weekend_T5800_T580002_1,08:00:00,20:30:00,3000,0
weekend_T5800_T580002_2,21:40:00,24:00:00,4200,0
weekday_T5800_T580002_0,06:00:00,07:20:00,2400,0
weekday_T5800_T580002_1,08:00:00,20:30:00,3000,0
weekday_T5800_T580002_2,21:40:00,24:00:00,4200,0
weekday_T5810_T581002_0,06:00:00,19:00:00,1800,0
weekday_T5810_T581002_1,20:00:00,22:00:00,3600,0
weekday_T5810_T581002_2,23:30:00,24:05:00,5400,0
weekend_T5810_T581002_0,06:00:00,11:00:00,1800,0
weekend_T5810_T581002_1,12:00:00,16:00:00,3600,0
weekend_T5810_T581002_2,16:30:00,19:00:00,1800,0
weekend_T5810_T581002_3,20:00:00,22:00:00,3600,0
weekend_T5810_T581002_4,23:30:00,24:05:00,5400,0
weekend_T5820_T582002_0,06:00:00,10:00:00,2400,0
weekend_T5820_T582002_1,11:00:00,16:00:00,3600,0
weekend_T5820_T582002_2,16:40:00,20:00:00,2400,0
weekend_T5820_T582002_3,21:00:00,23:00:00,3600,0
weekday_T5820_T582002_0,06:00:00,10:00:00,2400,0
weekday_T5820_T582002_1,11:00:00,16:00:00,3600,0
weekday_T5820_T582002_2,16:40:00,20:00:00,2400,0
weekday_T5820_T582002_3,21:00:00,23:00:00,3600,0
weekend_T2220_T222002_0,05:30:00,06:00:00,1800,0
weekend_T2220_T222002_1,06:30:00,08:00:00,1800,0
weekend_T2220_T222002_2,08:40:00,10:00:00,2400,0
weekend_T2220_T222002_3,11:00:00,16:00:00,3600,0
weekend_T2220_T222002_4,16:40:00,20:00:00,2400,0
weekend_T2220_T222002_5,21:00:00,23:00:00,3600,0
weekday_T2210_T221002_0,06:00:00,09:20:00,2400,0
weekday_T2210_T221002_1,10:05:00,16:05:00,5400,0
weekday_T2210_T221002_2,16:50:00,19:05:00,2700,0
weekday_T2210_T221002_3,20:15:00,22:35:00,4200,0
weekend_T2210_T221002_0,06:00:00,07:20:00,4800,0
weekend_T2210_T221002_1,08:40:00,10:05:00,5100,0
weekend_T2210_T221002_2,11:35:00,16:05:00,5400,0
weekend_T2210_T221002_3,17:35:00,19:05:00,5400,0
weekend_T2210_T221002_4,20:15:00,22:35:00,4200,0
weekday_T2030_T203002_0,05:30:00,10:10:00,2100,0
weekday_T2030_T203002_1,11:20:00,16:00:00,4200,0
weekday_T2030_T203002_2,16:40:00,19:20:00,2400,0
weekday_T2030_T203002_3,20:15:00,21:40:00,5100,0
weekend_T2030_T203002_0,05:30:00,10:10:00,2100,0
weekend_T2030_T203002_1,11:20:00,16:00:00,4200,0
weekend_T2030_T203002_2,16:40:00,19:20:00,2400,0
weekend_T2030_T203002_3,20:15:00,21:40:00,5100,0
weekend_T2030_T203002_4,23:00:00,23:30:00,2160,0
weekday_T2020_T202002_0,06:00:00,06:35:00,2100,0
weekday_T2020_T202002_1,07:00:00,09:30:00,2400,0
weekday_T2020_T202002_2,09:45:00,11:15:00,5400,0
weekday_T2020_T202002_3,12:00:00,13:30:00,2700,0
weekday_T2020_T202002_4,14:15:00,15:45:00,5400,0
weekday_T2020_T202002_5,16:30:00,17:15:00,2700,0
weekday_T2020_T202002_6,18:05:00,18:55:00,3000,0
weekday_T2020_T202002_7,20:20:00,23:00:00,4800,0
weekend_T2020_T202002_0,06:00:00,06:30:00,1800,0
weekend_T2020_T202002_1,07:00:00,09:00:00,2400,0
weekend_T2020_T202002_2,09:45:00,15:45:00,5400,0
